acronym,id,name
Pzp,11126,pregnancy zone protein
Aanat,11134,arylalkylamine N-acetyltransferase
Aatk,11138,apoptosis-associated tyrosine kinase
Abca1,11139,"ATP-binding cassette, sub-family A (ABC1), member 1"
Abca4,11140,"ATP-binding cassette, sub-family A (ABC1), member 4"
Abca2,11141,"ATP-binding cassette, sub-family A (ABC1), member 2"
Abcb7,11142,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
Abcg1,11143,"ATP-binding cassette, sub-family G (WHITE), member 1"
Abi1,11144,abl-interactor 1
Abl1,11183,"c-abl oncogene 1, non-receptor tyrosine kinase"
Abl2,11185,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)"
Acadl,11193,"acyl-Coenzyme A dehydrogenase, long-chain"
Acadm,11194,"acyl-Coenzyme A dehydrogenase, medium chain"
Acadvl,11198,"acyl-Coenzyme A dehydrogenase, very long chain"
Acads,11202,"acyl-Coenzyme A dehydrogenase, short chain"
Slc33a1,11205,"solute carrier family 33 (acetyl-CoA transporter), member 1"
Asic2,11207,acid-sensing (proton-gated) ion channel 2
Asic1,11208,acid-sensing (proton-gated) ion channel 1
Ace,11210,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
Ache,11212,acetylcholinesterase
Apoc4,11214,apolipoprotein C-IV
Macf1,11215,microtubule-actin crosslinking factor 1
Aco1,11217,aconitase 1
Aco2,11218,"aconitase 2, mitochondrial"
Acox1,11219,"acyl-Coenzyme A oxidase 1, palmitoyl"
Acp1,11220,"acid phosphatase 1, soluble"
Acp2,11221,"acid phosphatase 2, lysosomal"
Acp5,11222,"acid phosphatase 5, tartrate resistant"
Acr,11223,acrosin prepropeptide
Chrna1,11224,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)"
Chrna4,11227,"cholinergic receptor, nicotinic, alpha polypeptide 4"
Chrna6,11229,"cholinergic receptor, nicotinic, alpha polypeptide 6"
Chrna7,11230,"cholinergic receptor, nicotinic, alpha polypeptide 7"
Chrnb1,11232,"cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)"
Chrnb2,11233,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)"
Chrnd,11236,"cholinergic receptor, nicotinic, delta polypeptide"
Chrne,11237,"cholinergic receptor, nicotinic, epsilon polypeptide"
Chrng,11238,"cholinergic receptor, nicotinic, gamma polypeptide"
Adipoq,11239,"adiponectin, C1Q and collagen domain containing"
Acrv1,11240,acrosomal vesicle protein 1
Acta1,11248,"actin, alpha 1, skeletal muscle"
Actb,11250,"actin, beta"
Actc1,11253,"actin, alpha, cardiac muscle 1"
Actg1,11254,"actin, gamma, cytoplasmic 1"
Actg2,11256,"actin, gamma 2, smooth muscle, enteric"
Actl7a,11258,actin-like 7a
Actl7b,11259,actin-like 7b
Actn2,11260,actinin alpha 2
Actn3,11262,actinin alpha 3
Acta2,11263,"actin, alpha 2, smooth muscle, aorta"
Acvr1,11265,"activin A receptor, type 1"
Acvr1b,11267,"activin A receptor, type 1B"
Acvr2a,11268,activin receptor IIA
Acvr2b,11269,activin receptor IIB
Acvrl1,11270,"activin A receptor, type II-like 1"
Aspa,11272,aspartoacylase
Ada,11274,adenosine deaminase
Adam10,11275,a disintegrin and metallopeptidase domain 10
Adam11,11276,a disintegrin and metallopeptidase domain 11
Adam12,11277,a disintegrin and metallopeptidase domain 12 (meltrin alpha)
Adam15,11278,a disintegrin and metallopeptidase domain 15 (metargidin)
Adam17,11279,a disintegrin and metallopeptidase domain 17
Adam19,11280,a disintegrin and metallopeptidase domain 19 (meltrin beta)
Adam2,11282,a disintegrin and metallopeptidase domain 2
Adam3,11284,a disintegrin and metallopeptidase domain 3 (cyritestin)
Adam4,11285,a disintegrin and metallopeptidase domain 4
Adam5,11286,a disintegrin and metallopeptidase domain 5
Adam7,11287,a disintegrin and metallopeptidase domain 7
Adam8,11288,a disintegrin and metallopeptidase domain 8
Adam9,11289,a disintegrin and metallopeptidase domain 9 (meltrin gamma)
Adamts1,11291,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1"
Adcy6,11299,adenylate cyclase 6
Adcy7,11300,adenylate cyclase 7
Adcy8,11301,adenylate cyclase 8
Adcy9,11302,adenylate cyclase 9
Adcyap1,11303,adenylate cyclase activating polypeptide 1
Adcyap1r1,11304,adenylate cyclase activating polypeptide 1 receptor 1
Add1,11305,adducin 1 (alpha)
Add2,11306,adducin 2 (beta)
Plin2,11307,perilipin 2
Adh1,11309,alcohol dehydrogenase 1 (class I)
Adh7,11316,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
Adh5,11319,"alcohol dehydrogenase 5 (class III), chi polypeptide"
Adk,11321,adenosine kinase
Adm,11322,adrenomedullin
Gpr182,11323,G protein-coupled receptor 182
Cfd,11324,complement factor D (adipsin)
Adnp,11325,activity-dependent neuroprotective protein
Adora1,11326,adenosine A1 receptor
Adora2a,11327,adenosine A2a receptor
Adora2b,11328,adenosine A2b receptor
Adora3,11329,adenosine A3 receptor
Adprh,11331,ADP-ribosylarginine hydrolase
Parp1,11332,"poly (ADP-ribose) polymerase family, member 1"
Parp2,11333,"poly (ADP-ribose) polymerase family, member 2"
Adra1a,11336,"adrenergic receptor, alpha 1a"
Adra1d,11337,"adrenergic receptor, alpha 1d"
Adra2a,11338,"adrenergic receptor, alpha 2a"
Adra2b,11339,"adrenergic receptor, alpha 2b"
Adra2c,11340,"adrenergic receptor, alpha 2c"
Adrb1,11341,"adrenergic receptor, beta 1"
Adrb2,11342,"adrenergic receptor, beta 2"
Adsl,11351,adenylosuccinate lyase
Adssl1,11352,adenylosuccinate synthetase like 1
Adss,11353,"adenylosuccinate synthetase, non muscle"
Avil,11354,advillin
Aebp1,11355,AE binding protein 1
Aebp2,11356,AE binding protein 2
Crisp1,11358,cysteine-rich secretory protein 1
Crisp3,11359,cysteine-rich secretory protein 3
Afp,11363,alpha fetoprotein
